name,description,module,path
"brainstorming","Facilitate interactive brainstorming sessions using diverse creative techniques and ideation methods. Use when the user says help me brainstorm or help me ideate.","core","_bmad/core/workflows/brainstorming/workflow.md"
"party-mode","Orchestrates group discussions between all installed BMAD agents, enabling natural multi-agent conversations. Use when user requests party mode.","core","_bmad/core/workflows/party-mode/workflow.md"
"create-product-brief","Create product brief through collaborative discovery. Use when the user says ""lets create a product brief"" or ""help me create a project brief""","bmm","_bmad/bmm/workflows/1-analysis/create-product-brief/workflow.md"
"domain-research","Conduct domain and industry research. Use when the user says ""lets create a research report on [domain or industry]""","bmm","_bmad/bmm/workflows/1-analysis/research/workflow-domain-research.md"
"market-research","Conduct market research on competition and customers. Use when the user says ""create a market research report about [business idea]"".","bmm","_bmad/bmm/workflows/1-analysis/research/workflow-market-research.md"
"technical-research","Conduct technical research on technologies and architecture. Use when the user says ""create a technical research report on [topic]"".","bmm","_bmad/bmm/workflows/1-analysis/research/workflow-technical-research.md"
"create-prd","Create a PRD from scratch. Use when the user says ""lets create a product requirements document"" or ""I want to create a new PRD""","bmm","_bmad/bmm/workflows/2-plan-workflows/create-prd/workflow-create-prd.md"
"edit-prd","Edit an existing PRD. Use when the user says ""edit this PRD"".","bmm","_bmad/bmm/workflows/2-plan-workflows/create-prd/workflow-edit-prd.md"
"validate-prd","Validate a PRD against standards. Use when the user says ""validate this PRD"" or ""run PRD validation""","bmm","_bmad/bmm/workflows/2-plan-workflows/create-prd/workflow-validate-prd.md"
"create-ux-design","Plan UX patterns and design specifications. Use when the user says ""lets create UX design"" or ""create UX specifications"" or ""help me plan the UX""","bmm","_bmad/bmm/workflows/2-plan-workflows/create-ux-design/workflow.md"
"check-implementation-readiness","Validate PRD, UX, Architecture and Epics specs are complete. Use when the user says ""check implementation readiness"".","bmm","_bmad/bmm/workflows/3-solutioning/check-implementation-readiness/workflow.md"
"create-architecture","Create architecture solution design decisions for AI agent consistency. Use when the user says ""lets create architecture"" or ""create technical architecture"" or ""create a solution design""","bmm","_bmad/bmm/workflows/3-solutioning/create-architecture/workflow.md"
"create-epics-and-stories","Break requirements into epics and user stories. Use when the user says ""create the epics and stories list""","bmm","_bmad/bmm/workflows/3-solutioning/create-epics-and-stories/workflow.md"
"code-review","Perform adversarial code review finding specific issues. Use when the user says ""run code review"" or ""review this code""","bmm","_bmad/bmm/workflows/4-implementation/code-review/workflow.yaml"
"correct-course","Manage significant changes during sprint execution. Use when the user says ""correct course"" or ""propose sprint change""","bmm","_bmad/bmm/workflows/4-implementation/correct-course/workflow.yaml"
"create-story","Creates a dedicated story file with all the context the agent will need to implement it later. Use when the user says ""create the next story"" or ""create story [story identifier]""","bmm","_bmad/bmm/workflows/4-implementation/create-story/workflow.yaml"
"dev-story","Execute story implementation following a context filled story spec file. Use when the user says ""dev this story [story file]"" or ""implement the next story in the sprint plan""","bmm","_bmad/bmm/workflows/4-implementation/dev-story/workflow.yaml"
"retrospective","Post-epic review to extract lessons and assess success. Use when the user says ""run a retrospective"" or ""lets retro the epic [epic]""","bmm","_bmad/bmm/workflows/4-implementation/retrospective/workflow.yaml"
"sprint-planning","Generate sprint status tracking from epics. Use when the user says ""run sprint planning"" or ""generate sprint plan""","bmm","_bmad/bmm/workflows/4-implementation/sprint-planning/workflow.yaml"
"sprint-status","Summarize sprint status and surface risks. Use when the user says ""check sprint status"" or ""show sprint status""","bmm","_bmad/bmm/workflows/4-implementation/sprint-status/workflow.yaml"
"quick-dev","Implement a Quick Tech Spec for small changes or features. Use when the user provides a quick tech spec and says ""implement this quick spec"" or ""proceed with implementation of [quick tech spec]""","bmm","_bmad/bmm/workflows/bmad-quick-flow/quick-dev/workflow.md"
"quick-spec","Very quick process to create implementation-ready quick specs for small changes or features. Use when the user says ""create a quick spec"" or ""generate a quick tech spec""","bmm","_bmad/bmm/workflows/bmad-quick-flow/quick-spec/workflow.md"
"document-project","Document brownfield projects for AI context. Use when the user says ""document this project"" or ""generate project docs""","bmm","_bmad/bmm/workflows/document-project/workflow.yaml"
"generate-project-context","Create project-context.md with AI rules. Use when the user says ""generate project context"" or ""create project context""","bmm","_bmad/bmm/workflows/generate-project-context/workflow.md"
"qa-generate-e2e-tests","Generate end to end automated tests for existing features. Use when the user says ""create qa automated tests for [feature]""","bmm","_bmad/bmm/workflows/qa-generate-e2e-tests/workflow.yaml"
"bmad-cis-design-thinking","Guide human-centered design processes using empathy-driven methodologies. Use when the user says ""lets run design thinking"" or ""I want to apply design thinking""","cis","_bmad/cis/workflows/bmad-cis-design-thinking/workflow.md"
"bmad-cis-innovation-strategy","Identify disruption opportunities and architect business model innovation. Use when the user says ""lets create an innovation strategy"" or ""I want to find disruption opportunities""","cis","_bmad/cis/workflows/bmad-cis-innovation-strategy/workflow.md"
"bmad-cis-problem-solving","Apply systematic problem-solving methodologies to complex challenges. Use when the user says ""guide me through structured problem solving"" or ""I want to crack this challenge with guided problem solving techniques""","cis","_bmad/cis/workflows/bmad-cis-problem-solving/workflow.md"
"bmad-cis-storytelling","Craft compelling narratives using story frameworks. Use when the user says ""help me with storytelling"" or ""I want to create a narrative through storytelling""","cis","_bmad/cis/workflows/bmad-cis-storytelling/workflow.md"
"brainstorm-game","Facilitate game brainstorming sessions with game-specific context and techniques. Use when the user says ""lets create game design ideas"" or ""I want to brainstorm game concepts""","gds","_bmad/gds/workflows/1-preproduction/gds-brainstorm-game/workflow.md"
"create-game-brief","Game vision definition workflow through collaborative step-by-step discovery. Use when the user says ""lets create a game brief"" or ""I want to define my game vision""","gds","_bmad/gds/workflows/1-preproduction/gds-create-game-brief/workflow.md"
"market-research","Conduct game market research on competition and players. Use when the user says ""create a market research report about [game idea]"".","gds","_bmad/gds/workflows/1-preproduction/research/workflow-market-research.md"
"technical-research","Conduct technical research on game technologies and architecture. Use when the user says ""create a technical research report on [game tech topic]"".","gds","_bmad/gds/workflows/1-preproduction/research/workflow-technical-research.md"
"create-prd","(Optional) Create a PRD for use with external tools like bmad-assist. Uses the GDD as a base if available, otherwise creates from scratch. Use when the user says ""create a PRD"" or ""generate PRD from GDD""","gds","_bmad/gds/workflows/2-design/create-prd/workflow-create-prd.md"
"edit-prd","Edit an existing PRD. Use when the user says ""edit this PRD"".","gds","_bmad/gds/workflows/2-design/create-prd/workflow-edit-prd.md"
"validate-prd","Validate a PRD against standards. Use when the user says ""validate this PRD"" or ""run PRD validation""","gds","_bmad/gds/workflows/2-design/create-prd/workflow-validate-prd.md"
"create-gdd","Comprehensive game design document creator through collaborative discovery. Use when the user says ""lets create a game design document"" or ""I want to create a comprehensive GDD""","gds","_bmad/gds/workflows/2-design/gds-create-gdd/workflow.md"
"create-narrative","Comprehensive narrative design for story-driven games. Use when the user says ""lets create a narrative design document"" or ""I want to design the narrative for my game""","gds","_bmad/gds/workflows/2-design/gds-create-narrative/workflow.md"
"gds-create-ux-design","Create UX design specifications for game UI/HUD elements. Use when the user says ""lets create a UX design"" or ""create game UI design""","gds","_bmad/gds/workflows/2-design/gds-create-ux-design/workflow.md"
"check-implementation-readiness","Validate GDD, UX, Architecture and Epics specs are complete for game development. Use when the user says ""check implementation readiness"".","gds","_bmad/gds/workflows/3-technical/gds-check-implementation-readiness/workflow.md"
"create-epics-and-stories","Break game design requirements into epics and user stories. Use when the user says ""create the epics and stories list""","gds","_bmad/gds/workflows/3-technical/gds-create-epics-and-stories/workflow.md"
"game-architecture","Create game architecture with engine selection and systems design for AI agent consistency. Use when the user says ""lets create a game architecture"" or ""create technical game architecture""","gds","_bmad/gds/workflows/3-technical/gds-game-architecture/workflow.md"
"generate-project-context","Generate AI-optimized project context file. Use when the user says ""lets create project context for game dev""","gds","_bmad/gds/workflows/3-technical/gds-generate-project-context/workflow.md"
"code-review","Perform adversarial code review finding specific issues. Use when the user says ""run code review"" or ""review this code""","gds","_bmad/gds/workflows/4-production/gds-code-review/workflow.md"
"correct-course","Manage significant changes during sprint execution. Use when the user says ""correct course"" or ""propose sprint change""","gds","_bmad/gds/workflows/4-production/gds-correct-course/workflow.md"
"gds-create-story","Creates a dedicated story file with all the context the agent will need to implement it later. Use when the user says ""create the next story"" or ""create story [story identifier]""","gds","_bmad/gds/workflows/4-production/gds-create-story/workflow.md"
"retrospective","Post-epic review to extract lessons and assess success. Use when the user says ""run a retrospective"" or ""lets retro the epic [epic]""","gds","_bmad/gds/workflows/4-production/gds-retrospective/workflow.md"
"sprint-planning","Generate sprint status tracking from epics. Use when the user says ""run sprint planning"" or ""generate sprint plan""","gds","_bmad/gds/workflows/4-production/gds-sprint-planning/workflow.md"
"sprint-status","Summarize sprint status and surface risks. Use when the user says ""check sprint status"" or ""show sprint status""","gds","_bmad/gds/workflows/4-production/gds-sprint-status/workflow.md"
"e2e-scaffold","E2E testing infrastructure scaffolder. Use when the user says ""lets scaffold e2e testing infrastructure for game project"" or ""setup e2e"" or ""e2e infrastructure""","gds","_bmad/gds/workflows/gametest/gds-e2e-scaffold/workflow.md"
"gametest-performance","Performance test strategy designer. Use when the user says ""lets create a performance test plan"" or ""design game performance testing strategy""","gds","_bmad/gds/workflows/gametest/gds-performance-test/workflow.md"
"gametest-playtest-plan","Playtest session planner. Use when the user says ""lets create a playtest plan"" or ""I want to schedule gameplay testing""","gds","_bmad/gds/workflows/gametest/gds-playtest-plan/workflow.md"
"gametest-automate","Automated test scenario generator. Use when the user says ""I want to create automated game tests"" or ""Generate test scenarios for Unity Unreal or Godot""","gds","_bmad/gds/workflows/gametest/gds-test-automate/workflow.md"
"gametest-test-design","Game test scenario creator. Use when the user says ""lets create game test scenarios""","gds","_bmad/gds/workflows/gametest/gds-test-design/workflow.md"
"gametest-framework","Game test framework initializer. Use when the user says ""lets create a test framework"" or ""initialize game testing infrastructure""","gds","_bmad/gds/workflows/gametest/gds-test-framework/workflow.md"
"gametest-test-review","Game test coverage reviewer. Use when the user says ""lets review game tests"" or ""I want to evaluate test coverage""","gds","_bmad/gds/workflows/gametest/gds-test-review/workflow.md"
"document-project","Document brownfield projects for AI context. Use when the user says ""document this project"" or ""generate project docs""","gds","_bmad/gds/workflows/gds-document-project/workflow.md"
"gds-quick-dev","Flexible development workflow - execute tech-specs OR direct instructions with optional planning. Use when the user says ""lets implement this feature"" or ""execute these development tasks""","gds","_bmad/gds/workflows/gds-quick-flow/gds-quick-dev/workflow.md"
